comments	contain_gender_bias	bias	hate
(현재 호텔주인 심정) 아18 난 마른하늘에 날벼락맞고 호텔망하게생겼는데 누군 계속 추모받네....	False	others	hate
....한국적인 미인의 대표적인 분...너무나 곱고아름다운모습...그모습뒤의 슬픔을 미처 알지못했네요ㅠ	False	none	none
...못된 넘들...남의 고통을 즐겼던 넘들..이젠 마땅한 처벌을 받아야지..,그래야, 공정한 사회지...심은대로 거두거라...	False	none	hate
1,2화 어설펐는데 3,4화 지나서부터는 갈수록 너무 재밌던데	False	none	none
1. 사람 얼굴 손톱으로 긁은것은 인격살해이고2. 동영상이 몰카냐? 메걸리안들 생각이 없노	True	gender	hate
10+8 진짜 이승기랑 비교된다	False	none	none
100년안에 남녀간 성전쟁 한번 크게 치룬 후 일부다처제, 여성의 정치참여 금지, 여성 투표권 삭제가 세계의 공통문화로 자리잡을듯. 암탉이 너무 울어댐.	True	gender	hate
10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음	False	none	none
10년만에 재미를 느끼는 프로였는데왜 니들때문에 폐지를해야되냐	False	none	offensive
10년차방탄팬인데 우리방탄처럼 성공은못하겠지만 일단 방탄의 부하가되고싶다는거니 이름기억은해둠ㅇㅇ	False	none	offensive
10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..	False	others	none
12월이나 1월이더 결혼성수기지 5월은 여름이라 비수기에속한다	False	none	none
13살 차이면 요즘 세상에 놀랄일도 아니네요	False	none	none
1400억 뜯기고 얼마나 억울 했을꼬 뒤질만큼 아플만 하지~~~~ㅋㅋㅋㅋ	False	none	offensive
15년생인 울아들은 유모차 안타는데	False	none	none
15살차이면 어릴때사고쳤으면 딸벌인데 ㅋㅋ 능력좋네 전현무 여자들이 전현무스타일이 좋은가봐	False	others	offensive
166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄	False	none	none
17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다	False	others	none
180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함	False	none	none
180이하 호빗 한남들은 결혼 하지마셈 ㅋ 돈없으면 연애도 하지마셈 ㅋ 니들 호빗 유전자 받아서 고통받을 네 후손은 뭔죄임?	True	gender	hate
18키로감량을해야박수쳐주지 그냥 먹고싶은거다먹고디비져자고하면 18키로는그냥쪄	False	none	hate
1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.	False	none	none
19에서15로 바뀌고 망트리 탄거...	False	none	none
1년연예 ㅋㅋ 2년봅니다....	False	none	offensive
1년전인가 둘이 연남동 술집에서 술마시는거 봤는데 이제야 기사뜨는구나	False	none	none
1박2일 재미없고 이제 부도덕한것만 생각나요. 폐지하세요 학부모입장에서폐지비랍니다	False	none	none
1보다 재미없어요 진짜 보다 나올뻔	False	none	offensive
1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더만 ㅋㅋ	False	none	none
1억도 안아깝다 ☝️☝️☝️☝️☝️☝️☝️	False	none	none
1일1식보단 아침,점심만 먹고 저녁은 꾸준히 공복유지 하는게 건강에 더 좋은듯	False	none	none
1일1식은 난 못하겠네 흐흐 한상진씨 연기잘함	False	none	none
1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고	False	none	none
2%로도 안되는 시청율 ㅎㅎ 연기도 못하더만 이거 때문에 북을 못가? ㅎㅎ	False	none	none
2,30대 골빈여자들은 이 기사에 다 모이는건가ㅋㅋㅋㅋ 이래서 여자는 투표권 주면 안된다. 엠넷사전투표나 하고 살아야지 계집들은	True	gender	hate
2002년도 여름에 봤는데 서지영이랑 스포츠카타고온거...18년전이네 ㅎㅎ	False	none	none
2006년 포도밭그사나이에서 흰가운입은 연구원 정소영봐라~!!솔까 대한민국 여배우중에 최고로 이쁘고 단아했다~!!! 급식충들은 멋도모르고 윤아 아이유 떠들겠지만..	False	others	hate
200억대 쳐바르고 홍보를 그렇게나했는데 시청률 5.0%가 자랑이라고 올렸냐... 그리고, 남녀 주인공이 비주얼이 너무 심각하고 남녀주연들 사극 말투가 더빙한것마냥 성우스러워서 시청률이 그 모양 그 꼴이잖아...	False	others	offensive
2014년 카톡은 안지우고 지끔까지 갖고 있었다는게 놀랍다~수집하니~지땜에 장씨 날벼락~	False	none	offensive
2016년 사진이래요 ㅋ	False	none	none
2018년 마마 진정한 승자 화사	False	none	none
2020년이 올거같냐 영배야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	False	none	none
206000달러 중 겨우 계약금 수준인 34700을 지불안했다면 뭔 사정이 있을거같아 중립기어 박아요	False	none	none
20년연애 너무 멋져요 !! 이제 결혼하셔서 행복한 가정이루시길	False	none	none
20년이 넘었다 부모는 속이 타고 억울하겠지만 이젠 묻어둬야지 그렇다면 억울하게 죽은 사람이 얼마나 많을까? 30년 지난 화성사건은 피해가족들은?그땐 가해자도 되었지만 시간이 지난 오늘은 피해자가 될수있다	False	none	offensive
20년째 열애중? 너무 길다.	False	others	none
20대 30대 남자 비율보소 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ할짓 드럽게없나봐... 죽자고 덤벼드는거봐ㅠㅠ	True	gender	hate
20대다. 연애 많이 해봐라.	False	others	offensive
20살차?? ㅉㅉ	False	others	offensive
21C에 주술사랑 ...	False	none	none
24살인데 술을먹어 발랑까졋네 고딩때도 먹엇을듯	False	others	offensive
25년전이면 한참 팔팔할때.. 오달수도 아마 이십대 초반.. 서로 어렸을때 반콩깠던거 같은데..저렇게 따지면 이세상에 성범죄자 아닌인간이 있을까 무섭다	True	gender	offensive
25년전이면오달수도 혈기왕성할때인데 그럴수도 있을듯 그리고 이제와서 25년일을 말하는사람도 참 이해못하겠네 혓재에 충실하고 살지 참	True	gender	none
26년 최수종님처럼 한결 같기는 힘들겠지만 서로 양보하고 배려하며 비슷하게만 살아도 싸울일 반으로 줄이고 아내 행복하게 만들어줌	False	none	none
290억 아니고?	False	none	none
29살까지 온갖 수단 다 동원해서 입대 연기하며 발악하다가 어쩔수없이 끌려가는게 머가 대단하다고 오바질이야 ㅋㅋ	False	others	hate
2~30대녀 :(쿵쾅쿵쾅) 꿀꿀꿀!!!!!!	True	gender	hate
2년 사귀었으면 ... 서로 온몸의 점 위치까지 다알 듯 ㅋㅋㅋ	False	others	offensive
2년도안되 ㅇㅈㅎ 양아치에게 통수 맞으니 분하겠죠 ......그동안 sns에서 충분히 느낄 수 있었ㆍ새로운 삶을 사세요	False	none	offensive
2박2일은 뭐니? 기레기야	False	none	hate
2차로 남자집을 왜 가.무조건 남자만 탓 할 일은 아니다.명백히 가려지길...	True	gender	offensive
2천만원짜리 조리원하며고기집 외식하며...참 가지가지 한다ㅋㅋㅋㅋㅋ관심병으로 더아프신거 아닌감??아무튼 건강하다니 다행이네...ㅋㅋㅋ	False	others	offensive
30넘어서 공익가는 꼴이란ㅋㅋㅋㅋㅋ진짜 모냥빠진다ㅋㅋㅋ	False	others	offensive
30대 아줌마들 남에 집에 감놔라배놔라 ㅋㅋㅋㅋㅋ	True	gender	offensive
30대 아줌마들;; 고만들 하세요;	True	gender	offensive
30대 여자들은 군대도 안가는데 군대 이야기에 이렇게 관심이 많을까?? 젤 싫어하는 이야기 탑3라면서??	True	gender	offensive
30대 여자비율이 가장높은거보니 고소영이뻐요 하는 이유를 알겠다 ^^ 여자들아 진심으로 한마디 하겠는데 30대 여자는 진심으로 여자로 아예안보여요~^^	True	gender	hate
30대여자들 한혜진 빙의해서 악플다는거 진짜 안쓰럽고 역겹다 본인인생이나 잘살기를 젊은여자들 질투하지말고	True	gender	offensive
33살이 청년임? 아저씨아님?	False	others	hate
38살 되도록 시집못갔으면 뭔가 문제있는 여자 아닌가?? 건모형 그냥 거르세요...상대할 필요도 없어요...	True	gender	hate
38세48세로 잘못적은거아닌가ㅋㅋㅋㅋ할정도로 동안이네요~~~	False	others	none
39세라고 나와있구만 ㅡㅡ 양세종은 20대 아님???	False	none	none
3명중에 최종훈이 제일 잘생겼네요♡	False	none	none
3번으로 탈락을 면 했군, 이제 술수를 부리지말라~티가난다!	False	none	none
3일에 12억원어치 팔만큼 파급력있는 사람입니다. 왜 다들 조롱만 하나요? 잘 알지 못한다면 더더욱 함부로 말하면 안되죠.	False	none	none
40-50대로 가야지..할매를 부르면 우야노	True	gender	hate
40대 아줌마 지들 자식들은 피씨방에 있고 엄마들은 방탄 동영상 처보고 있다고 생각해봐라 그래놓고 경포대 문재인 아몰랑 지지하고 어후 토나와	False	others	hate
40대 아줌마들 댓글비율좀봐....	True	gender	offensive
